norder,sigmaLO,errorLO,sigmaNLO,errorNLO,mu,mA,tanb,msb1,msb2,mst1,mst2,Ab,At
1,27.293060912392097,0.09249457059872605,(49.35441484374462-0.00910030197231186j),(0.34926522832352147-3.2615892220883344e-06j),nan,10.0,750,3126.74498664,2684.57346105,1353.469793419137,1650.321138129881,1465.6588435786034,1503.9180304804074
1,27.293060912392097,0.09249457059872605,(48.69941925931744-0.003640774551376176j),(0.348979505918535-1.2066857472617777e-06j),nan,10.0,1200,3126.74498664,2684.57346105,1353.469793419137,1650.321138129881,1465.6588435786034,1503.9180304804074
1,27.293060912392097,0.09249457059872605,(48.5586071670702-0.0033261046758659876j),(0.3489177070821007-1.0819835207230463e-06j),nan,10.0,1400,3126.74498664,2684.57346105,1353.469793419137,1650.321138129881,1465.6588435786034,1503.9180304804074
1,27.293060912392097,0.09249457059872605,(48.45841039986051-0.002430544431198285j),(0.34888791095891086-7.833622692898556e-07j),nan,10.0,1600,3126.74498664,2684.57346105,1353.469793419137,1650.321138129881,1465.6588435786034,1503.9180304804074
1,27.293060912392097,0.09249457059872605,(48.383265329913435-0.0014631719756086985j),(0.34884243290607336-4.6479391538079794e-07j),nan,10.0,1800,3126.74498664,2684.57346105,1353.469793419137,1650.321138129881,1465.6588435786034,1503.9180304804074
1,27.293060912392097,0.09249457059872605,(48.32662847914429-0.0012157476502362517j),(0.34882354567246626-3.8383028648253116e-07j),nan,10.0,2000,3126.74498664,2684.57346105,1353.469793419137,1650.321138129881,1465.6588435786034,1503.9180304804074
1,27.293060912392097,0.09249457059872605,(48.281029906308326-0.0008606374330143805j),(0.34880979927551387-2.7049060843746956e-07j),nan,10.0,2200,3126.74498664,2684.57346105,1353.469793419137,1650.321138129881,1465.6588435786034,1503.9180304804074
1,27.293060912392097,0.09249457059872605,(48.24586012176654+0.00016685739584402275j),(0.34879225621800825+5.213684667425225e-08j),nan,10.0,2400,3126.74498664,2684.57346105,1353.469793419137,1650.321138129881,1465.6588435786034,1503.9180304804074
1,27.293060912392097,0.09249457059872605,(48.21554748552862+0.0001652377267240094j),(0.3487752021084759+5.133545608647381e-08j),nan,10.0,2600,3126.74498664,2684.57346105,1353.469793419137,1650.321138129881,1465.6588435786034,1503.9180304804074
1,27.293060912392097,0.09249457059872605,(48.19047471490321+0.0007531581439549416j),(0.3487667152004615+2.3331563526830321e-07j),nan,10.0,2800,3126.74498664,2684.57346105,1353.469793419137,1650.321138129881,1465.6588435786034,1503.9180304804074
1,27.293060912392097,0.09249457059872605,(51.64448552346329-0.014369201840535441j),(0.3589966527216472-1.2325685433300458e-05j),1000.0,40.0,750,18236.6101488,2609.59076813,1353.454442687608,1650.3103753925875,1458.9579606355971,1531.141111182876
1,27.293060912392097,0.09249457059872605,(49.781779201269444+0.0134229745836129j),(0.3535460211878566+8.508523231669152e-06j),1000.0,40.0,1200,18236.6101488,2609.59076813,1353.454442687608,1650.3103753925875,1458.9579606355971,1531.141111182876
1,27.293060912392097,0.09249457059872605,(49.39625264774353+0.019947071371354225j),(0.35302685746880186+1.2119865392342971e-05j),1000.0,40.0,1400,18236.6101488,2609.59076813,1353.454442687608,1650.3103753925875,1458.9579606355971,1531.141111182876
1,27.293060912392097,0.09249457059872605,(49.13172707334449+0.011518177921512386j),(0.3521832504064375+6.4734079153620724e-06j),1000.0,40.0,1600,18236.6101488,2609.59076813,1353.454442687608,1650.3103753925875,1458.9579606355971,1531.141111182876
1,27.293060912392097,0.09249457059872605,(48.93687376821525+0.013721612770540235j),(0.3518268123285168+7.430230260552487e-06j),1000.0,40.0,1800,18236.6101488,2609.59076813,1353.454442687608,1650.3103753925875,1458.9579606355971,1531.141111182876
1,27.293060912392097,0.09249457059872605,(48.77820192458924+0.02390479950678713j),(0.3516579972980683+1.2704967955226828e-05j),1000.0,40.0,2000,18236.6101488,2609.59076813,1353.454442687608,1650.3103753925875,1458.9579606355971,1531.141111182876
1,27.293060912392097,0.09249457059872605,(48.642455951889296+0.024663430266273517j),(0.3513493119337594+1.2642987601873015e-05j),1000.0,40.0,2200,18236.6101488,2609.59076813,1353.454442687608,1650.3103753925875,1458.9579606355971,1531.141111182876
1,27.293060912392097,0.09249457059872605,(48.52920132913182+0.031498115282890905j),(0.35147991097328385+1.6400767805392804e-05j),1000.0,40.0,2400,18236.6101488,2609.59076813,1353.454442687608,1650.3103753925875,1458.9579606355971,1531.141111182876
1,27.293060912392097,0.09249457059872605,(48.4287123324949+0.015045011739455758j),(0.351234392783196+7.603836289857537e-06j),1000.0,40.0,2600,18236.6101488,2609.59076813,1353.454442687608,1650.3103753925875,1458.9579606355971,1531.141111182876
1,27.293060912392097,0.09249457059872605,(48.31504133452756+0.025794437736742934j),(0.3509487500057083+1.2561343940514455e-05j),1000.0,40.0,2800,18236.6101488,2609.59076813,1353.454442687608,1650.3103753925875,1458.9579606355971,1531.141111182876
1,27.293060912392097,0.09249457059872605,(48.231486451291474-0.0008837464382703198j),(0.34875129960576895-2.723297133310369e-07j),nan,5.0,1500,2836.16072878,2783.24791529,1353.5981241543975,1650.2877849560896,1499.8934131386263,1540.9190920610583
1,27.293060912392097,0.09249457059872605,(48.2701426984587-0.0003398618950328539j),(0.34879463558154866-1.0627889675835039e-07j),nan,6.0,1500,2780.35910664,2751.20817212,1353.4981341913326,1650.341009224656,1466.5317938707449,1501.0381903785676
1,27.293060912392097,0.09249457059872605,(48.293181155426616-0.0012067811576112106j),(0.34882013293940206-3.805734153773954e-07j),nan,6.5,1500,2773.85627201,2738.39494707,1353.4916712110946,1650.3364776398605,1466.4582909669828,1501.3207920478408
1,27.293060912392097,0.09249457059872605,(48.31802563491709-0.001380438612881908j),(0.3488542317660656-4.401826565781803e-07j),nan,7.0,1500,2782.50082213,2727.41176043,1353.486505829468,1650.332855907786,1466.3725900507056,1501.63217184001
1,27.293060912392097,0.09249457059872605,(48.34536223085083-0.0015525154628033757j),(0.3488782294350772-4.988506289817191e-07j),nan,7.5,1500,2806.02452762,2717.89267683,1353.4823144945724,1650.3299171544122,1466.2758767226746,1501.9685385581204
1,27.293060912392097,0.09249457059872605,(48.37336750035223-0.0016608238134466925j),(0.34891450554396164-5.397334591027218e-07j),nan,8.0,1500,2843.96561586,2709.56322947,1353.4788680258885,1650.327500678929,1466.1691556806409,1502.3264519544978
1,27.293060912392097,0.09249457059872605,(48.4038832630056-0.0005668963948647179j),(0.3489442991397905-1.859166757057541e-07j),nan,8.5,1500,2895.72123996,2702.21352136,1353.4760005856947,1650.325490197407,1466.0533128562165,1502.7028552209586
1,27.293060912392097,0.09249457059872605,(48.43645586437335-0.0025118174365868465j),(0.3490081750965402-8.395593553031496e-07j),nan,9.0,1500,2960.59848284,2695.68029173,1353.473589863872,1650.3237999479545,1465.9291541297116,1503.0950740170288
1,27.293060912392097,0.09249457059872605,(48.469350762471464-0.003248252749838344j),(0.3490465968062735-1.0978066343991016e-06j),nan,9.5,1500,3037.85728565,2689.83464508,1353.4715441055894,1650.3223655941324,1465.7974289590163,1503.5007943401058
1,27.293060912392097,0.09249457059872605,(48.50521437730577+0.0009710028064734401j),(0.3491091930729702+3.339739117727794e-07j),nan,10.0,1500,3126.74498664,2684.57346105,1353.469793419137,1650.321138129881,1465.6588435786034,1503.9180304804074
1,27.293060912392097,0.09249457059872605,(48.57452266823108-0.0031767582286889493j),(0.34919942129950926-1.1194322207058108e-06j),nan,11.0,1500,3336.4739538000013,2675.48573175,1353.4669731260235,1650.319160737219,1465.3637525829945,1504.7805134956857
1,27.293060912392097,0.09249457059872605,(48.64242838488142-0.001966033759944652j),(0.3492725717533337-7.059436668327773e-07j),nan,12.0,1500,3584.27375843,2667.91239997,1353.464821563571,1650.3176522187064,1465.048918067441,1505.6717470075796
1,27.293060912392097,0.09249457059872605,(48.71855035178785-0.0028840050327959554j),(0.349447677554403-1.0802868662538277e-06j),nan,13.0,1500,3865.35049951,2661.50403579,1353.4631432416788,1650.3164755060857,1464.718963516499,1506.5838951074695
1,27.293060912392097,0.09249457059872605,(48.795075851864375-0.002764021665187775j),(0.3495418477350594-1.057653140108354e-06j),nan,14.0,1500,4175.69114496,2656.01103446,1353.4618091079076,1650.3155401147942,1464.3781224003023,1507.5112011504389
1,27.293060912392097,0.09249457059872605,(48.875160361350545-0.000995308139227532j),(0.3496968445696782-3.937070003101173e-07j),nan,15.0,1500,4512.01373906,2651.25034495,1353.4607312215458,1650.3147843860231,1464.0302492707874,1508.4493634290714
1,27.293060912392097,0.09249457059872605,(48.95074581154422+0.003997525487525338j),(0.34987250587590196+1.6377300982721804e-06j),nan,16.0,1500,4871.67265439,2647.08467405,1353.4598480015743,1650.3141651430726,1463.6788342996283,1509.3950933561434
1,27.293060912392097,0.09249457059872605,(49.02061346409382+0.001671385620038171j),(0.35006186850941323+7.092723290641003e-07j),nan,17.0,1500,5252.55472444,2643.40902954,1353.4591152937237,1650.3136514279015,1463.3270189136883,1510.345816775792
1,27.293060912392097,0.09249457059872605,(49.09919884196466+0.0003541437201923783j),(0.3503115786482049+1.5686366091623507e-07j),nan,18.0,1500,5652.98150957,2640.14174851,1353.4585007764028,1650.313220578851,1462.9776192856918,1511.299466970704
1,27.293060912392097,0.09249457059872605,(49.17977923023654+0.008102356499459062j),(0.3505998954530819+3.7547496077718942e-06j),nan,19.0,1500,6071.62391506,2637.21835865,1353.4579803530823,1650.312855701161,1462.6331482537912,1512.2543467446876
1,27.293060912392097,0.09249457059872605,(49.25339177240357-0.0005158090076404772j),(0.3508560386125342-2.480191620647664e-07j),nan,20.0,1500,6507.43221062,2634.58728094,1353.4575357645915,1650.3125439928406,1462.2958429724897,1513.2090313996216
1,27.293060912392097,0.09249457059872605,(49.307727254749494+0.0016984497786829253j),(0.36362464303768466+1.7049510149724357e-06j),nan,40.0,1500,18236.6101488,2609.59076813,1353.454442687608,1650.3103753925875,1458.9579606355971,1531.141111182876
